id#title#content#regular price#height-product#load#rigidity-product#set-of-springs#size-product#image#categories
mirrorform#MIRROR FORM (МИРРОР ФОРМ)#"<div id=""description"" class=""box js-box"">  <p>Матрасы LINEA BENESSERE &ndash; это натуральный продукт, созданный из высококачественных компонентов. <br />Производство 100% Италия.<br />Необходимо уточнять наличие на складе. &nbsp;</p>  <p>Семизональный матрас Mirror Form, выполненный из инновационной пены Memory Naturalis. Эта модель для тех, кто выбирает естественные, натуральные условия отдыха. Memory Naturalis сертифицирован как термочувствительный материал, который не оказывает давление на тело человека во время сна. Идеально адаптируясь под контуры человеческого тела, обеспечивает естественное положение позвоночника, гарантируя полное расслабление во время отдыха.</p>          </div><table style=""width: 100%;"" border=""0"" cellspacing=""0"" cellpadding=""0"">  <tbody valign=""top"">  <tr valign=""top"">  <td align=""left"" width=""250""><img src=""http://www.lineaflex.ru/files/project_2016/galery/mirror03.png"" alt=""mirror03"" width=""240"" height=""123"" /></td>  <td align=""left""><br /> Матрас выполнен из двух семизональных слоев Memory Naturalis различной жесткости: один слой (h=9см) высокой жесткости (portanza firm), второй слой (h=9см) более мягкий (portanza soft). В центре матраса вставка из пенополиуретана на водной основе для лучшей поддержки поясничного отдела тела человека. Матрас по несущей способности разделен на семь зон, обеспечивая сбалансирование взаимодействие с различными участками человеческого тела</td>  </tr>  </tbody>  </table><table style=""width: 100%;"" border=""0"" cellspacing=""0"" cellpadding=""0"">  <tbody>  <tr valign=""top"">  <td align=""left"" width=""250""><img src=""http://www.lineaflex.ru/files/project_2016/galery/mirror01.png"" alt=""mirror01"" width=""240"" height=""123"" /></td>  <td align=""left""><br /> Лен, который используется для наполнения стежки, гарантирует &laquo;климатический&raquo; комфорт: отводит лишнее тепло при высокий температуре окружающей среды и согревает в холод. Лен хорошо восстанавливается и обладает высокими гигроскопическими свойствами (он поглощает влаги до 20% собственного веса ). Лен антистатичен. Сочетание льна и ткани TENSEL позволили создать чехол, обладающий антибактериальными, антистатическими, антиаллегенными свойствами.</td>  </tr>  </tbody>  </table><table style=""width: 100%;"" border=""0"" cellspacing=""0"" cellpadding=""0"">  <tbody>  <tr valign=""top"">  <td align=""left"" width=""250""><img src=""http://www.lineaflex.ru/files/project_2016/galery/mirror02.png"" alt=""mirror02"" width=""240"" height=""123"" /></td>  <td align=""left""><br /> Для обеспечения постоянной вентиляции матраса и предотвращения появления плесени и бактерий используется специальная боковина, выполненная из трехмерной ткани. Чехол матраса съемный. Рекомендуется стирка при температуре 60 С или сухая чистка. Для удобства по периметру боковины четыре ручки.</td>  </tr>  </tbody>  </table>"##20#160 кг#средняя#беспружинный##http://www.lineaflex.ru/files/project_2016/good_gallery/1365329735_1_mini2.jpg|http://www.lineaflex.ru/files/project_2016/good_gallery/1365329742_3_mini2.jpg|http://www.lineaflex.ru/files/project_2016/good_gallery/1365329757_6_mini2.jpg|http://www.lineaflex.ru/files/project_2016/good_gallery/1365329767_5_mini2.jpg|http://www.lineaflex.ru/files/project_2016/good_gallery/1365329802_2_mini2.jpg|http://www.lineaflex.ru/files/project_2016/good_gallery/1366649256_0_mini2.jpg#catalog>mattresses-italy>linea-benessere
mirrorform#MIRROR FORM (МИРРОР ФОРМ)##0#####80x200##
mirrorform#MIRROR FORM (МИРРОР ФОРМ)##0#####85x200##
mirrorform#MIRROR FORM (МИРРОР ФОРМ)##0#####90x200##
mirrorform#MIRROR FORM (МИРРОР ФОРМ)##0#####100x200##
mirrorform#MIRROR FORM (МИРРОР ФОРМ)##0#####110x200##
mirrorform#MIRROR FORM (МИРРОР ФОРМ)##0#####120x200##
mirrorform#MIRROR FORM (МИРРОР ФОРМ)##0#####130x200##
mirrorform#MIRROR FORM (МИРРОР ФОРМ)##0#####140x200##
mirrorform#MIRROR FORM (МИРРОР ФОРМ)##0#####150x200##
